"fs_orleans" "g_faust" "g_iphigenia"
"und" 2.56628604606154 2.96844213314384 3.27933363940447
"der" 2.56241532804335 1.95742756548984 2.68249491703286
"die" 2.40371588929746 2.1576924319261 2.32176821669837
"ich" 1.80762531449584 2.26428502212604 1.90201351085459
"nicht" 1.25024191987614 1.37601343712652 1.3182921230406
"sie" 1.71085736404103 0.981943861235828 1.1740014429068
"zu" 1.20379330365783 1.22742982654478 1.25270545025251
"du" 1.32765628023998 1.03039503859944 1.29861612120417
"das" 1.1186375072576 1.29849155334475 1.06906276644586
"ist" 1.22701761176698 1.25973061145386 0.734570735226602
"den" 1.13024966131217 0.891501663490423 1.33796812487702
"in" 1.19605186762144 0.998094253690365 0.964124089984915
"ein" 0.665763499129088 1.28880131787202 1.01003476093658
"mit" 0.867040836075092 0.885041506508608 0.970682757263724
"es" 0.704470679311012 0.959333311799477 0.793598740735882
"mir" 0.692858525256435 0.852740721599535 0.832950744408736
"sich" 0.758660731565705 0.862430957072257 0.688660064274939
"ihr" 0.894135862202439 0.839820407635906 0.465665376795435
"mich" 0.650280627056319 0.784909073290481 0.898537417196826
"so" 0.429649700019354 0.94318291934494 0.773922738899456
"dem" 0.669634217147281 0.623405148745115 0.918213419033252
"er" 0.568995548674279 0.76229852385413 0.708336066111366
"auf" 0.646409909038127 0.668626247617817 0.596838722371614
"von" 0.650280627056319 0.562033657417875 0.754246737063029
"wie" 0.425778982001161 0.736457895926871 0.668984062438512
"was" 0.418037545964776 0.742918052908686 0.439430707680199
"an" 0.522546932455971 0.542653186472431 0.564045385977569
"des" 0.596090574801626 0.29070706418166 0.74768806978422
"dich" 0.596090574801626 0.400529732872509 0.511576047747098
"dir" 0.39094251983743 0.335928163054362 0.629632058765659
"s" 0.00387071801819237 0.704157111017798 0.511576047747098
"uns" 0.437391136055738 0.300397299654382 0.55748671869876
"doch" 0.290303851364428 0.545883264963339 0.275464025709976
"wir" 0.491581188310432 0.390839497399787 0.24922935659474
"euch" 0.487710470292239 0.445750831745211 0.137732012854988
"mephistopheles" 0 0.914112212926774 0
"faust" 0 0.85920087858135 0.0262346691152358
"nur" 0.181923746855042 0.587874285345134 0.24922935659474
"mein" 0.414166827946584 0.32623792758164 0.360726700334492
"daß" 0.340623185600929 0.342388320036177 0.406637371286155
"wenn" 0.274820979291659 0.426370360799767 0.301698694825211
"im" 0.290303851364428 0.410219968345231 0.216436020200695
"johanna" 0.855428682020515 0 0
