Source,Target,Weight,Type
fs_orleans,g_faust,4,undirected
fs_orleans,g_iphigenia,5,undirected
fs_orleans,sw_iphigenia,1,undirected
g_faust,fs_orleans,4,undirected
g_faust,g_iphigenia,6,undirected
g_faust,sw_iphigenia,1,undirected
g_iphigenia,fs_orleans,5,undirected
g_iphigenia,g_faust,6,undirected
g_iphigenia,sw_faust,1,undirected
g_iphigenia,sw_iphigenia,2,undirected
g_iphigenia,sw_orleans,1,undirected
sw_faust,g_iphigenia,1,undirected
sw_faust,sw_iphigenia,6,undirected
sw_faust,sw_orleans,4,undirected
sw_iphigenia,fs_orleans,1,undirected
sw_iphigenia,g_faust,1,undirected
sw_iphigenia,g_iphigenia,2,undirected
sw_iphigenia,sw_faust,6,undirected
sw_iphigenia,sw_orleans,5,undirected
sw_orleans,g_iphigenia,1,undirected
sw_orleans,sw_faust,4,undirected
sw_orleans,sw_iphigenia,5,undirected
